split,observation_rate_hz,nyquist_hz,stride_from_100hz,samples_per_trial,rmse_V,rmse_alpha,rmse_gamma,rmse_Q
train,100.0,50.0,1.0,4001.0,0.3434779617072886,0.000717265561858242,0.0006468176754715965,0.007355336349039598
train,10.0,5.0,10.0,401.0,0.5704504344578057,0.0010221050057147105,0.0005914270077843666,0.005568720713084163
train,2.0,1.0,50.0,81.0,1.2692806161540418,0.002525740716623476,0.005747831098403012,0.009597359551975207
validation,100.0,50.0,1.0,4001.0,0.3477512225368961,0.0007248744221490534,0.000654560035205195,0.007350840683084353
validation,10.0,5.0,10.0,401.0,0.5776583618561549,0.00104118700675873,0.0006317199852219172,0.005521744055115214
validation,2.0,1.0,50.0,81.0,1.2834302043219288,0.002802094453566508,0.006169563941573502,0.011401923260496667
