epoch,loss
0,1.0474920272827148
25,0.7027856111526489
50,0.6416573524475098
75,0.5910260081291199
100,0.5837319493293762
125,0.5818333625793457
150,0.5806989669799805
175,0.5797865390777588
200,0.5790291428565979
225,0.5783900618553162
250,0.5778294205665588
275,0.5773148536682129
300,0.5768248438835144
325,0.5763431787490845
350,0.575855553150177
375,0.5753470063209534
400,0.5748007893562317
425,0.5742262601852417
450,0.5735875964164734
475,0.5729194283485413
500,0.5722337961196899
525,0.5715493559837341
550,0.5708323121070862
575,0.5702501535415649
600,0.5694730877876282
625,0.5688733458518982
650,0.5682669878005981
675,0.5675566792488098
699,0.5668475031852722
