epoch,loss
0,1.0350226163864136
25,0.7747116088867188
50,0.6534802913665771
75,0.493557333946228
100,0.4046958386898041
125,0.37812769412994385
150,0.36389341950416565
175,0.3545123338699341
200,0.34789225459098816
225,0.34306925535202026
250,0.3396317958831787
275,0.3368756175041199
300,0.33462390303611755
325,0.3325596749782562
350,0.3305074870586395
375,0.328359991312027
400,0.32652637362480164
425,0.32385197281837463
450,0.32136234641075134
475,0.3185565173625946
500,0.3153606951236725
525,0.31165558099746704
550,0.30727308988571167
575,0.3018749952316284
600,0.2963120937347412
625,0.28892025351524353
650,0.2810772657394409
675,0.27197012305259705
699,0.26328158378601074
