output,peak_frequency_hz,peak_magnitude_db,mean_coherence,method,case,elapsed_s
Q,10.0,84.09676368622102,0.27374343354748765,frequency_welch_etfe,frequency_multisine,1.2957593809987884
gamma,10.0,74.96233489979724,0.1417668159065476,frequency_welch_etfe,frequency_multisine,1.2957606409981963
