case,method,nfev,elapsed_s,cost,success,decision_variables,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,theta_C_L0,theta_C_L_alpha,theta_C_D0,theta_k,theta_C_M0,theta_C_M_alpha,theta_C_M_Q,theta_C_M_delta_e,errpct_C_L0,errpct_C_L_alpha,errpct_C_D0,errpct_k,errpct_C_M0,errpct_C_M_alpha,errpct_C_M_Q,errpct_C_M_delta_e
noise_only,SS,2,0.07357647900062148,124638546.18947665,False,12,9.97053770081217,2.9158513497833156,8.033475419208502,8.318345748594085,-0.050251302129087454,4.784952448096509,0.0803092107746084,0.35069496211023027,0.059942323359509435,0.060905421167230675,-0.349360642531969,0.01995828397012165,150.25130212908746,59.49841493655029,167.69736924869468,250.69496211023022,499.4232335950943,160.90542116723066,249.36064253196898,80.04171602987836
noise_only,MS,2,0.0878911390027497,66585698.58072799,False,16,9.68791344494547,2.1116344676702403,5.017839234319013,7.471548702456733,-0.06156882911416828,4.900908149987139,0.10144881966201064,0.3634749498471378,0.06892226029008935,-0.08614493751689926,-0.3113248033174812,-0.016182092799252482,161.56882911416827,63.36360499957131,238.16273220670215,263.4749498471378,589.2226029008934,13.855062483100742,211.32480331748118,116.18209279925247
lag_limit_gust_mismatch,SS,2,0.06828084999870043,277035483.6249539,False,12,10.788481630400474,2.5655344611301256,12.79211340803394,6.838222580474414,-0.052909067419604036,4.80581956091278,0.07944185593546431,0.3511229920207017,0.06113043307642958,0.09791302656072223,-0.3525678527669984,0.016235269647455825,152.909067419604,60.193985363759325,164.8061864515477,251.12299202070164,511.30433076429574,197.91302656072222,252.5678527669984,83.76473035254418
lag_limit_gust_mismatch,MS,2,0.08785517999785952,81574503.91364296,False,16,10.117764661026367,2.174593966438541,5.76198622896371,6.132680981504078,-0.0480200943542389,4.886570655133317,0.14119943434987986,0.36127778937433563,0.06722166311979869,-9.040213412491588e-05,-0.3306674280300878,-0.007098969616782001,148.0200943542389,62.885688504443905,370.6647811662662,261.27778937433567,572.2166311979868,99.90959786587507,230.66742803008776,107.098969616782
