epoch,loss
0,0.9862067103385925
25,0.48590630292892456
50,0.3519396483898163
75,0.2625977694988251
100,0.2551567852497101
125,0.2523677945137024
150,0.2508777379989624
175,0.24990659952163696
200,0.2492215931415558
225,0.2487165331840515
250,0.2483251690864563
275,0.24800559878349304
300,0.24773111939430237
325,0.24748358130455017
350,0.24725870788097382
375,0.24704180657863617
400,0.24683061242103577
425,0.24662385880947113
450,0.24641917645931244
475,0.2462153285741806
500,0.24601174890995026
525,0.2458142340183258
550,0.2456248700618744
575,0.2454347163438797
600,0.24525108933448792
625,0.24507445096969604
650,0.24490731954574585
675,0.24476003646850586
699,0.24462780356407166
