method,output,mean_coherence,peak_frequency_hz,peak_magnitude_db
Frequency-Welch,Q,0.10873505697276273,35.7421875,20.54367190001377
Frequency-Welch,gamma,0.10611800613224426,30.859375,0.2894967569104294
