epoch,loss
0,0.9007519483566284
25,0.15943005681037903
50,0.10676351189613342
75,0.06746813654899597
100,0.04534401744604111
125,0.030673770233988762
150,0.021268459036946297
175,0.015664203092455864
200,0.012243558652698994
225,0.010020230896770954
250,0.008460510522127151
275,0.007296110037714243
300,0.006394935771822929
325,0.005686671938747168
350,0.005128387827426195
375,0.004689313936978579
400,0.004344706889241934
425,0.0040740142576396465
450,0.0038604061119258404
475,0.003690417855978012
500,0.00355349644087255
525,0.003441524226218462
550,0.003348372643813491
575,0.00326948962174356
600,0.0032015384640544653
625,0.0031420907471328974
650,0.0030893837101757526
675,0.00309081026352942
699,0.003007409395650029
