case,method,elapsed_s,decision_variables,train_score,rmse_V,rmse_alpha,rmse_gamma,rmse_Q
noise_only,UDE,0.21547913700487697,180,0.10655635758390467,0.14258673586346785,0.0024263545677902674,0.006775780800248211,0.003474567097063873
lag_limit_gust_mismatch,UDE,0.0039468320028390735,180,0.049799223899507444,0.062305726146622456,0.0007375487990517651,0.0025021420647195407,0.0042902834026241595
