method,state_source,parameter,estimate,crlb_std,relative_std,max_abs_correlation,samples
EquationError-LS,direct,C_L0,0.09610170244761375,0.00031345129824331575,0.0032616622833938035,0.6042939726784547,62
EquationError-LS,direct,C_L_alpha,3.0609714313008665,0.003979641178974,0.0013001235941894147,0.5129865043074109,62
EquationError-LS,direct,C_D0,0.033014021459521765,0.00022000418829347504,0.006663962115709547,0.821191960235202,62
EquationError-LS,direct,k,0.11751150375476373,0.0006808943886227203,0.005794278575854902,0.8211919602340632,62
EquationError-LS,direct,C_M0,0.00336707276792137,1.5050072021026929e-06,0.00044697792588301987,0.291398633551928,62
EquationError-LS,direct,C_M_alpha,-0.036030989788754846,3.374857122578974e-05,0.000936654014326372,0.8014651693199656,62
EquationError-LS,direct,C_M_Q,-0.032753337488125374,4.8238959065114775e-05,0.0014727952252989078,0.6042939726771114,62
EquationError-LS,direct,C_M_delta_e,0.035814777133861525,5.7402016358053635e-05,0.001602746713835675,0.4008092146461216,62
