case,method,elapsed_s,decision_variables,train_score,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,theta_C_L0,theta_C_L_alpha,theta_C_D0,theta_k,theta_C_M0,theta_C_M_alpha,theta_C_M_Q,theta_C_M_delta_e,errpct_C_L0,errpct_C_L_alpha,errpct_C_D0,errpct_k,errpct_C_M0,errpct_C_M_alpha,errpct_C_M_Q,errpct_C_M_delta_e
noise_only,PINN,0.30311159000120824,108,0.34648025310330366,0.2583348260085707,0.006497421877632918,0.028320294376190814,0.02457984052463419,-0.040028725,4.8099694,0.07002866,0.34001476,0.050063424,0.04006549,-0.3599488,0.010119835,140.02872481942177,60.33231417338053,133.42887560526532,240.0147557258606,400.63423812389374,140.0654897093773,259.9488139152527,89.8801650851965
lag_limit_gust_mismatch,PINN,0.02318435000051977,108,0.29481096100214665,0.2906125096242658,0.004583995557796885,0.02973328388992937,0.018356558474010812,-0.04024019,4.8097534,0.07002844,0.3400166,0.05004825,0.040050004,-0.35997432,0.010160962,140.24019092321396,60.325113932291664,133.42813054720563,240.01660346984863,400.4825070500374,140.05000367760658,259.97432470321655,89.83903788030148
