method,output,mean_coherence,peak_frequency_hz,peak_magnitude_db
Frequency-Welch,Q,0.10204468422579313,48.046875,30.928757615454188
Frequency-Welch,gamma,0.08517513763025972,48.2421875,20.905000994148025
