method,state_source,parameter,estimate,crlb_std,relative_std,max_abs_correlation,samples
EquationError-LS,direct,C_L0,0.09605756285357397,0.00039307920689639575,0.00409212138242138,0.7037149549334875,202
EquationError-LS,direct,C_L_alpha,3.0660143628310004,0.005602191386197612,0.0018271901965341206,0.9963632177723006,202
EquationError-LS,direct,C_D0,0.031920049630550236,0.00010347166765596492,0.0032415885580871287,0.7803345556581692,202
EquationError-LS,direct,k,0.11116816867521771,0.001034697022319264,0.009307493634640803,0.780334555658298,202
EquationError-LS,direct,C_M0,0.0024174242307052193,9.732958907829242e-07,0.0004026169169732327,0.2560389713106854,202
EquationError-LS,direct,C_M_alpha,-0.026218409608455236,8.548679747263342e-05,0.0032605638079994215,0.9963632177726776,202
EquationError-LS,direct,C_M_Q,-0.022094572688025237,4.708355024085295e-05,0.0021310007170390393,0.8045823457100776,202
EquationError-LS,direct,C_M_delta_e,0.02497598567709073,8.975174178853614e-05,0.003593521510979288,0.7822174293726717,202
