method,output,mean_coherence,peak_frequency_hz,peak_magnitude_db
Frequency-Welch,Q,0.10425731749699887,45.8984375,102.76634758090773
Frequency-Welch,gamma,0.09576996714125971,44.7265625,83.37933322785833
