method,output,mean_coherence,peak_frequency_hz,peak_magnitude_db
Frequency-Welch,Q,0.09602439693608752,45.8984375,102.76631435986424
Frequency-Welch,gamma,0.09228730749286877,44.7265625,83.69581177605158
