case,method,elapsed_s,active_terms,train_score,validation_score,rmse_V,rmse_alpha,rmse_gamma,rmse_Q
noise_only,SINDy,0.002521437003451865,61,3.151107059194084,134.67716497613702,6.271697069392355,0.013661911506766732,0.2530360748057541,1.8142070838076885
lag_limit_gust_mismatch,SINDy,0.0021847770040039904,63,2.4514367427629224,20.98262148515289,3.6902907651297414,0.34718225132155744,0.15173925961053214,0.3019636681747923
