epoch,loss
0,0.9804121851921082
25,0.43719205260276794
50,0.32687050104141235
75,0.20763738453388214
100,0.19432882964611053
125,0.18924304842948914
150,0.18610429763793945
175,0.18384027481079102
200,0.18214857578277588
225,0.18083631992340088
250,0.17975623905658722
275,0.17880044877529144
300,0.17790335416793823
325,0.17702652513980865
350,0.17613530158996582
375,0.17519927024841309
400,0.17495085299015045
425,0.17338845133781433
450,0.1725025475025177
475,0.17191748321056366
500,0.17091377079486847
525,0.17021487653255463
550,0.16968992352485657
575,0.16914208233356476
600,0.16871897876262665
625,0.1683277040719986
650,0.1679677665233612
675,0.1676325798034668
699,0.16744454205036163
