method,output,mean_coherence,peak_frequency_hz,peak_magnitude_db
Frequency-Welch,Q,0.11207365879884808,44.140625,108.0093765214604
Frequency-Welch,gamma,0.0972911010901434,44.53125,91.80941675038594
