epoch,loss
0,1.0201438665390015
25,0.7573239803314209
50,0.6429357528686523
75,0.5018840432167053
100,0.41435909271240234
125,0.38296225666999817
150,0.36635109782218933
175,0.3551541566848755
200,0.3475624620914459
225,0.3424435555934906
250,0.33870890736579895
275,0.33656156063079834
300,0.3334220349788666
325,0.3310820162296295
350,0.32859304547309875
375,0.3260711133480072
400,0.3230649530887604
425,0.3199899196624756
450,0.3167693316936493
475,0.31335368752479553
500,0.3099792003631592
525,0.30628663301467896
550,0.3022365868091583
575,0.29834097623825073
600,0.2934386432170868
625,0.2884562909603119
650,0.28287801146507263
675,0.2801441252231598
699,0.270942747592926
