epoch,loss
0,1.0278316736221313
25,0.750121533870697
50,0.6368381381034851
75,0.5266896486282349
100,0.46889322996139526
125,0.44737115502357483
150,0.43542519211769104
175,0.42729759216308594
200,0.42157408595085144
225,0.41779062151908875
250,0.41318655014038086
275,0.4096631705760956
300,0.4059315025806427
325,0.40161406993865967
350,0.3960406184196472
375,0.38937777280807495
400,0.3814215362071991
425,0.37313053011894226
450,0.36303460597991943
475,0.35240626335144043
500,0.3403547704219818
525,0.3280417323112488
550,0.3162885010242462
575,0.3048957288265228
600,0.29454416036605835
625,0.2852785289287567
650,0.2768406867980957
675,0.2686029076576233
699,0.26170670986175537
