epoch,loss
0,1.032525658607483
25,0.8169364333152771
50,0.7688082456588745
75,0.7374435663223267
100,0.7351086735725403
125,0.7339037656784058
150,0.7327932119369507
175,0.7315235137939453
200,0.73000168800354
225,0.7282143831253052
250,0.7263893485069275
275,0.7250425815582275
300,0.7243163585662842
325,0.7238839268684387
350,0.7235463857650757
375,0.7232588529586792
400,0.7229987978935242
425,0.722756028175354
450,0.7225313782691956
475,0.7223115563392639
500,0.722126841545105
525,0.7218963503837585
550,0.7217220067977905
575,0.7214982509613037
600,0.7213518619537354
625,0.7211306095123291
650,0.7209988236427307
675,0.7208027243614197
699,0.7206971049308777
