epoch,loss
0,1.004661202430725
25,0.8620933890342712
50,0.8309748768806458
75,0.7949398159980774
100,0.7865210175514221
125,0.7805110812187195
150,0.7732743620872498
175,0.7672885656356812
200,0.7646806836128235
225,0.7634283900260925
250,0.7625426650047302
275,0.761908233165741
300,0.7614063620567322
325,0.76100093126297
350,0.7606502771377563
375,0.7603282332420349
400,0.7601862549781799
425,0.7597448229789734
450,0.7594587206840515
475,0.7592057585716248
500,0.7589007616043091
525,0.7586164474487305
550,0.7583581805229187
575,0.7581198215484619
600,0.7577990293502808
625,0.7575370669364929
650,0.7573984265327454
675,0.7570621967315674
699,0.7568868398666382
