method,output,mean_coherence,peak_frequency_hz,peak_magnitude_db
Frequency-Welch,Q,0.11407603316583928,35.7421875,20.543745041940262
Frequency-Welch,gamma,0.09344407820911467,30.859375,2.404003324301992
