epoch,loss
0,0.9665583372116089
25,0.6948432922363281
50,0.6327270865440369
75,0.5906559824943542
100,0.5848488807678223
125,0.5827183723449707
150,0.5813460946083069
175,0.5802117586135864
200,0.5792178511619568
225,0.5783465504646301
250,0.577583909034729
275,0.5769027471542358
300,0.5762669444084167
325,0.5756404399871826
350,0.5749911069869995
375,0.5742890238761902
400,0.5735063552856445
425,0.5726186037063599
450,0.5716090202331543
475,0.5706351399421692
500,0.5695116519927979
525,0.5683882832527161
550,0.5674194097518921
575,0.566315770149231
600,0.5658342838287354
625,0.5644403696060181
650,0.5639497637748718
675,0.5627942681312561
699,0.5638821721076965
