epoch,loss
0,1.0397722721099854
25,0.1699708253145218
50,0.11097028851509094
75,0.0747615396976471
100,0.04823436588048935
125,0.03070649318397045
150,0.020299537107348442
175,0.014243434183299541
200,0.010556389577686787
225,0.008241959847509861
250,0.006740345153957605
275,0.005728750489652157
300,0.005024190526455641
325,0.004519511479884386
350,0.004147858824580908
375,0.003866002894937992
400,0.0036455972585827112
425,0.0034680187236517668
450,0.003321046009659767
475,0.0031966143287718296
500,0.0030893171206116676
525,0.002995441434904933
550,0.002912364434450865
575,0.0028381752781569958
600,0.002771437633782625
625,0.0027110413648188114
650,0.002656103577464819
675,0.002605907618999481
699,0.002561628818511963
