epoch,loss
0,1.0824223756790161
25,0.7507272958755493
50,0.6879991292953491
75,0.6350824236869812
100,0.6283383369445801
125,0.6263593435287476
150,0.6254209876060486
175,0.6248453855514526
200,0.6244508624076843
225,0.624152660369873
250,0.6239072680473328
275,0.6236936450004578
300,0.6235014200210571
325,0.6233249306678772
350,0.6231604814529419
375,0.623005211353302
400,0.6228564381599426
425,0.6227119565010071
450,0.622569739818573
475,0.6224287152290344
500,0.6222881078720093
525,0.6221478581428528
550,0.6220080852508545
575,0.6218699812889099
600,0.6218013167381287
625,0.6216151118278503
650,0.6214916110038757
675,0.6213794946670532
699,0.6212798357009888
